"map","locus","path_name"
"map05100","TR5913-c0_g1_i1","Bacterial invasion of epithelial cells"
"map05100","TR13026-c0_g1_i1utrorf","Bacterial invasion of epithelial cells"
"map05100","TR6237-c0_g1_i1utrorf","Bacterial invasion of epithelial cells"
"map05100","TR7349-c0_g1_i1utrorf","Bacterial invasion of epithelial cells"
"map05110","TR9355-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR9645-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR13217-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR13770-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR9225-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR9306-c0_g1_i1utrorf","Vibrio cholerae infection"
"map05110","TR13752-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR7508-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR13486-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR154-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR12726-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR7349-c0_g1_i1utrorf","Vibrio cholerae infection"
"map05110","TR13955-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR1842-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR6374-c0_g1_i1utrorf","Vibrio cholerae infection"
"map05110","TR9379-c0_g1_i1utrorf","Vibrio cholerae infection"
"map05110","TR5982-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR6240-c1_g1_i1","Vibrio cholerae infection"
"map05110","TR1582-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR9640-c0_g1_i1","Vibrio cholerae infection"
"map05110","TR8914-c0_g1_i1","Vibrio cholerae infection"
"map05120","TR5172-c0_g1_i1","Epithelial cell signaling in Helicobacter pylori infection"
"map05120","TR8914-c0_g1_i1","Epithelial cell signaling in Helicobacter pylori infection"
"map05120","TR9306-c0_g1_i1utrorf","Epithelial cell signaling in Helicobacter pylori infection"
"map05120","TR12726-c0_g1_i1","Epithelial cell signaling in Helicobacter pylori infection"
"map05120","TR7508-c0_g1_i1","Epithelial cell signaling in Helicobacter pylori infection"
"map05120","TR6240-c1_g1_i1","Epithelial cell signaling in Helicobacter pylori infection"
"map05120","TR1842-c0_g1_i1","Epithelial cell signaling in Helicobacter pylori infection"
"map05120","TR13944-c0_g1_i1","Epithelial cell signaling in Helicobacter pylori infection"
"map05120","TR5982-c0_g1_i1","Epithelial cell signaling in Helicobacter pylori infection"
"map05120","TR9225-c0_g1_i1","Epithelial cell signaling in Helicobacter pylori infection"
"map05120","TR11171-c0_g1_i1","Epithelial cell signaling in Helicobacter pylori infection"
"map05120","TR1582-c0_g1_i1","Epithelial cell signaling in Helicobacter pylori infection"
"map05120","TR7006-c0_g1_i1","Epithelial cell signaling in Helicobacter pylori infection"
"map05120","TR9379-c0_g1_i1utrorf","Epithelial cell signaling in Helicobacter pylori infection"
"map05120","TR13955-c0_g1_i1","Epithelial cell signaling in Helicobacter pylori infection"
"map05130","TR13827-c0_g1_i1","Pathogenic Escherichia coli infection"
"map05130","TR8896-c0_g1_i1","Pathogenic Escherichia coli infection"
"map05130","TR6237-c0_g1_i1utrorf","Pathogenic Escherichia coli infection"
"map05130","TR3829-c0_g2_i1","Pathogenic Escherichia coli infection"
"map05130","TR13978-c0_g1_i1","Pathogenic Escherichia coli infection"
"map05130","TR13280-c0_g1_i1","Pathogenic Escherichia coli infection"
"map05130","TR14470-c0_g1_i1utrorf","Pathogenic Escherichia coli infection"
"map05130","TR14865-c0_g1_i1","Pathogenic Escherichia coli infection"
"map05130","TR13675-c1_g1_i1","Pathogenic Escherichia coli infection"
"map05130","TR13770-c0_g1_i1","Pathogenic Escherichia coli infection"
"map05130","TR12530-c0_g1_i1","Pathogenic Escherichia coli infection"
"map05130","TR7349-c0_g1_i1utrorf","Pathogenic Escherichia coli infection"
"map05130","TR408-c0_g1_i1","Pathogenic Escherichia coli infection"
"map05130","TR9645-c0_g1_i1","Pathogenic Escherichia coli infection"
"map05130","TR7047-c0_g1_i1","Pathogenic Escherichia coli infection"
"map05131","TR6237-c0_g1_i1utrorf","Shigellosis"
"map05131","TR13944-c0_g1_i1","Shigellosis"
"map05131","TR9342-c1_g1_i1","Shigellosis"
"map05131","TR7349-c0_g1_i1utrorf","Shigellosis"
"map05131","TR2059-c0_g1_i1","Shigellosis"
